Dish Number,재료명,재료,이미지1,이미지2,이미지3,이미지4,이미지5,이미지6,설명1,설명2,설명3,설명4,설명5,설명6,알러지 정보,칼로리,
47,돼지고기 감자 대파볶음,"돼지고기, 감자, 대파, 소금, 후추, 마늘",http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/1.webp,http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/2.webp,http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/3.webp,http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/4.webp,http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/5.webp,http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/6.webp,"돼지고기, 감자, 대파를 준비합니다. 감자는 얇게 썰고, 대파는 어슷썰기 합니다. 돼지고기는 먹기 좋은 크기로 자릅니다. 간장, 설탕, 다진 마늘, 참기름도 준비합니다.",팬에 기름을 약간 두르고 감자를 넣어 중불에서 노릇하게 익힙니다.,"감자가 익어갈 때쯤 돼지고기를 넣고, 간장과 다진 마늘을 추가하여 고기가 익을 때까지 볶습니다.",대파를 넣고 잘 섞어가며 볶아줍니다. 대파가 살짝 익을 때까지 볶습니다.,"설탕과 후추를 넣어 간을 맞추고, 참기름을 조금 추가하여 향을 더해줍니다.",마지막에 참기름을 살짝 둘러 향을 더해주고 접시에 담아냅니다. 기호에 따라 참깨나 쪽파를 뿌려 마무리합니다.,"돼지고기, 대두(간장에 포함될 수 있음)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (47, '돼지고기 감자 대파볶음', '돼지고기, 감자, 대파, 소금, 후추, 마늘', 'http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/47. 돼지고기 감자 대파볶음/6.webp', '돼지고기, 감자, 대파를 준비합니다. 감자는 얇게 썰고, 대파는 어슷썰기 합니다. 돼지고기는 먹기 좋은 크기로 자릅니다. 간장, 설탕, 다진 마늘, 참기름도 준비합니다.', '팬에 기름을 약간 두르고 감자를 넣어 중불에서 노릇하게 익힙니다.', '감자가 익어갈 때쯤 돼지고기를 넣고, 간장과 다진 마늘을 추가하여 고기가 익을 때까지 볶습니다.', '대파를 넣고 잘 섞어가며 볶아줍니다. 대파가 살짝 익을 때까지 볶습니다.', '설탕과 후추를 넣어 간을 맞추고, 참기름을 조금 추가하여 향을 더해줍니다.', '마지막에 참기름을 살짝 둘러 향을 더해주고 접시에 담아냅니다. 기호에 따라 참깨나 쪽파를 뿌려 마무리합니다.', '돼지고기, 대두(간장에 포함될 수 있음)', '약 400-450 kcal');"
48,소고기 감자 마늘조림,"소고기, 감자, 마늘, 간장, 소금, 후추, 대파",http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/1.webp,http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/2.webp,http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/3.webp,http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/4.webp,http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/5.webp,http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/6.webp,"소고기는 적당한 크기로 자르고, 감자는 껍질을 벗겨 작은 조각으로 썹니다. 마늘은 통으로 준비하고, 간장, 설탕, 물, 후추, 참기름을 준비합니다.",팬에 감자와 물을 넣고 중불에서 부드러워질 때까지 감자를 익힙니다.,감자가 익으면 소고기를 넣고 함께 볶아줍니다. 소고기가 반쯤 익을 때까지 볶아줍니다.,통마늘을 넣고 간장과 설탕을 추가하여 잘 섞어가며 조립니다.,중불로 줄여서 양념이 재료에 잘 배고 소스가 자작해질 때까지 끓입니다. 후추로 간을 맞춥니다.,"마지막에 참기름을 살짝 둘러 풍미를 더해줍니다. 접시에 담고, 기호에 따라 참깨나 쪽파를 뿌려 마무리합니다.","소고기 ,대두(간장에 포함될 수 있음)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (48, '소고기 감자 마늘조림', '소고기, 감자, 마늘, 간장, 소금, 후추, 대파', 'http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/1.webp', 'http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/2.webp', 'http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/3.webp', 'http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/4.webp', 'http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/5.webp', 'http://kkms4001.iptime.org:45211/static/48. 소고기 감자 마늘조림/6.webp', '소고기는 적당한 크기로 자르고, 감자는 껍질을 벗겨 작은 조각으로 썹니다. 마늘은 통으로 준비하고, 간장, 설탕, 물, 후추, 참기름을 준비합니다.', '팬에 감자와 물을 넣고 중불에서 부드러워질 때까지 감자를 익힙니다.', '감자가 익으면 소고기를 넣고 함께 볶아줍니다. 소고기가 반쯤 익을 때까지 볶아줍니다.', '통마늘을 넣고 간장과 설탕을 추가하여 잘 섞어가며 조립니다.', '중불로 줄여서 양념이 재료에 잘 배고 소스가 자작해질 때까지 끓입니다. 후추로 간을 맞춥니다.', '마지막에 참기름을 살짝 둘러 풍미를 더해줍니다. 접시에 담고, 기호에 따라 참깨나 쪽파를 뿌려 마무리합니다.', '소고기 ,대두(간장에 포함될 수 있음)', '약 450-500 kcal');"
49,소고기 양파 김치덮밥,"소고기, 양파, 김치, 간장, 밥, 마늘",http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/1.webp,http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/2.webp,http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/3.webp,http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/4.webp,http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/5.webp,http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/6.webp,"소고기는 얇게 썰고, 양파는 얇게 슬라이스하며, 김치는 적당한 크기로 잘라줍니다. 밥, 간장, 다진 마늘, 설탕, 후추, 참기름도 준비합니다.","팬을 중불로 예열하고, 소고기를 넣어 노릇하게 익혀줍니다. 소고기에 간장과 후추를 약간 넣어 밑간을 해줍니다.",소고기가 반쯤 익으면 얇게 썬 양파를 넣어 부드러워질 때까지 볶습니다.,팬에 김치를 넣고 볶아주어 소고기와 양파에 김치의 풍미가 배도록 합니다.,"간장, 다진 마늘, 설탕을 넣고 모든 재료가 양념을 잘 흡수하며 자작해질 때까지 조립니다.","완성된 소고기 양파 김치 볶음을 밥 위에 얹고, 참기름과 참깨를 살짝 뿌려 완성합니다.","소고기 ,대두(간장에 포함될 수 있음)",약 500 kcal,"INSERT INTO test_recipe VALUES (49, '소고기 양파 김치덮밥', '소고기, 양파, 김치, 간장, 밥, 마늘', 'http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/1.webp', 'http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/2.webp', 'http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/3.webp', 'http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/4.webp', 'http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/5.webp', 'http://kkms4001.iptime.org:45211/static/49. 소고기 양파 김치덮밥/6.webp', '소고기는 얇게 썰고, 양파는 얇게 슬라이스하며, 김치는 적당한 크기로 잘라줍니다. 밥, 간장, 다진 마늘, 설탕, 후추, 참기름도 준비합니다.', '팬을 중불로 예열하고, 소고기를 넣어 노릇하게 익혀줍니다. 소고기에 간장과 후추를 약간 넣어 밑간을 해줍니다.', '소고기가 반쯤 익으면 얇게 썬 양파를 넣어 부드러워질 때까지 볶습니다.', '팬에 김치를 넣고 볶아주어 소고기와 양파에 김치의 풍미가 배도록 합니다.', '간장, 다진 마늘, 설탕을 넣고 모든 재료가 양념을 잘 흡수하며 자작해질 때까지 조립니다.', '완성된 소고기 양파 김치 볶음을 밥 위에 얹고, 참기름과 참깨를 살짝 뿌려 완성합니다.', '소고기 ,대두(간장에 포함될 수 있음)', '약 500 kcal');"
50,닭고기 마늘 볶음밥,"닭고기, 마늘, 밥, 간장, 참기름",http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/1.webp,http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/2.webp,http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/3.webp,http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/4.webp,http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/5.webp,http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/6.webp,"닭고기를 작게 썰어 준비하고, 마늘을 얇게 슬라이스합니다. 밥, 간장, 소금, 후추, 다진 파, 참기름도 준비합니다.","팬에 약간의 기름을 두르고, 닭고기를 넣어 노릇하게 볶아줍니다. 닭고기에 소금과 후추로 간을 합니다.",닭고기가 반쯤 익으면 얇게 썬 마늘을 팬에 넣고 함께 볶아줍니다. 마늘이 갈색으로 변할 때까지 볶습니다.,"준비된 밥을 팬에 넣고, 닭고기와 마늘에 잘 섞이도록 볶아줍니다.","간장을 약간 넣어 감칠맛을 더하고, 다진 파를 넣어 전체에 고루 섞이도록 볶습니다.","마지막에 참기름을 살짝 둘러 향을 더해주고, 볶음밥을 접시에 담아냅니다. 기호에 따라 참깨를 뿌려 마무리합니다.",대두(간장에 포함될 수 있음),약 450 kcal,"INSERT INTO test_recipe VALUES (50, '닭고기 마늘 볶음밥', '닭고기, 마늘, 밥, 간장, 참기름', 'http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/1.webp', 'http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/2.webp', 'http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/3.webp', 'http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/4.webp', 'http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/5.webp', 'http://kkms4001.iptime.org:45211/static/50. 닭고기 마늘 볶음밥/6.webp', '닭고기를 작게 썰어 준비하고, 마늘을 얇게 슬라이스합니다. 밥, 간장, 소금, 후추, 다진 파, 참기름도 준비합니다.', '팬에 약간의 기름을 두르고, 닭고기를 넣어 노릇하게 볶아줍니다. 닭고기에 소금과 후추로 간을 합니다.', '닭고기가 반쯤 익으면 얇게 썬 마늘을 팬에 넣고 함께 볶아줍니다. 마늘이 갈색으로 변할 때까지 볶습니다.', '준비된 밥을 팬에 넣고, 닭고기와 마늘에 잘 섞이도록 볶아줍니다.', '간장을 약간 넣어 감칠맛을 더하고, 다진 파를 넣어 전체에 고루 섞이도록 볶습니다.', '마지막에 참기름을 살짝 둘러 향을 더해주고, 볶음밥을 접시에 담아냅니다. 기호에 따라 참깨를 뿌려 마무리합니다.', '대두(간장에 포함될 수 있음)', '약 450 kcal');"
51,돼지고기 대파 김치볶음밥,"돼지고기, 대파, 김치, 밥, 간장, 마늘",http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/1.webp,http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/2.webp,http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/3.webp,http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/4.webp,http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/5.webp,http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/6.webp,"돼지고기는 작게 썰고, 김치와 대파도 잘게 썰어 준비합니다. 밥, 간장, 고춧가루, 다진 마늘, 참기름, 후추도 준비합니다.",팬에 약간의 기름을 두르고 돼지고기를 넣어 노릇하게 볶아줍니다. 소금과 후추로 돼지고기에 간을 합니다.,돼지고기가 반쯤 익으면 다진 마늘과 김치를 넣고 김치가 부드러워질 때까지 볶습니다.,준비된 밥을 팬에 넣고 돼지고기와 김치에 잘 섞이도록 볶아줍니다.,"다진 대파, 간장, 고춧가루를 넣고 모든 재료가 잘 어우러지도록 볶습니다.","마지막에 참기름을 살짝 둘러 풍미를 더해주고, 볶음밥을 접시에 담아냅니다. 기호에 따라 참깨나 추가 대파를 뿌려 마무리합니다.","소고기 ,대두(간장에 포함될 수 있음)",약 500 kcal,"INSERT INTO test_recipe VALUES (51, '돼지고기 대파 김치볶음밥', '돼지고기, 대파, 김치, 밥, 간장, 마늘', 'http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/1.webp', 'http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/2.webp', 'http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/3.webp', 'http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/4.webp', 'http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/5.webp', 'http://kkms4001.iptime.org:45211/static/51. 돼지고기 대파 김치볶음밥/6.webp', '돼지고기는 작게 썰고, 김치와 대파도 잘게 썰어 준비합니다. 밥, 간장, 고춧가루, 다진 마늘, 참기름, 후추도 준비합니다.', '팬에 약간의 기름을 두르고 돼지고기를 넣어 노릇하게 볶아줍니다. 소금과 후추로 돼지고기에 간을 합니다.', '돼지고기가 반쯤 익으면 다진 마늘과 김치를 넣고 김치가 부드러워질 때까지 볶습니다.', '준비된 밥을 팬에 넣고 돼지고기와 김치에 잘 섞이도록 볶아줍니다.', '다진 대파, 간장, 고춧가루를 넣고 모든 재료가 잘 어우러지도록 볶습니다.', '마지막에 참기름을 살짝 둘러 풍미를 더해주고, 볶음밥을 접시에 담아냅니다. 기호에 따라 참깨나 추가 대파를 뿌려 마무리합니다.', '소고기 ,대두(간장에 포함될 수 있음)', '약 500 kcal');"
52,계란 대파 감자전,"계란, 대파, 감자, 소금, 후추, 식용유",http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/1.webp,http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/2.webp,http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/3.webp,http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/4.webp,http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/5.webp,http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/6.webp,"감자를 껍질을 벗겨 채썰고, 대파는 얇게 썹니다. 계란, 소금, 후추도 준비합니다.",채썬 감자를 물에 헹군 후 체에 밭쳐 물기를 제거합니다.,"볼에 감자, 대파, 계란, 소금, 후추를 넣고 고루 섞어줍니다. 감자와 대파가 계란과 잘 어우러지도록 섞어줍니다.","중불로 예열한 팬에 약간의 기름을 두르고, 반죽을 한 숟가락씩 떠서 얇게 펼칩니다.","감자전을 한 면이 노릇해질 때까지 굽고, 뒤집어서 다른 면도 같은 색이 나도록 구워줍니다.","감자전을 접시에 담고, 기호에 따라 쪽파나 참깨를 뿌려 마무리합니다.",계란,약 300 kcal,"INSERT INTO test_recipe VALUES (52, '계란 대파 감자전', '계란, 대파, 감자, 소금, 후추, 식용유', 'http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/1.webp', 'http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/2.webp', 'http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/3.webp', 'http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/4.webp', 'http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/5.webp', 'http://kkms4001.iptime.org:45211/static/52. 계란 대파 감자전/6.webp', '감자를 껍질을 벗겨 채썰고, 대파는 얇게 썹니다. 계란, 소금, 후추도 준비합니다.', '채썬 감자를 물에 헹군 후 체에 밭쳐 물기를 제거합니다.', '볼에 감자, 대파, 계란, 소금, 후추를 넣고 고루 섞어줍니다. 감자와 대파가 계란과 잘 어우러지도록 섞어줍니다.', '중불로 예열한 팬에 약간의 기름을 두르고, 반죽을 한 숟가락씩 떠서 얇게 펼칩니다.', '감자전을 한 면이 노릇해질 때까지 굽고, 뒤집어서 다른 면도 같은 색이 나도록 구워줍니다.', '감자전을 접시에 담고, 기호에 따라 쪽파나 참깨를 뿌려 마무리합니다.', '계란', '약 300 kcal');"
53,돼지고기 김치떡국,"돼지고기, 김치, 떡, 국간장, 다진 마늘, 대파",http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/1.webp,http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/2.webp,http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/3.webp,http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/4.webp,http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/5.webp,http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/6.webp,"돼지고기, 떡, 김치를 준비하고, 떡은 물에 담가 불려 둡니다. 대파, 마늘, 간장, 고춧가루, 소금, 후추, 물도 준비합니다.",냄비에 약간의 기름을 두르고 돼지고기를 넣어 볶아줍니다. 돼지고기가 반쯤 익으면 간장과 후추로 밑간을 해줍니다.,김치를 냄비에 넣고 함께 볶아 돼지고기에 김치의 맛이 잘 배도록 합니다.,냄비에 물을 붓고 다진 마늘과 고춧가루를 넣어 끓입니다. 국물이 우러나오도록 중불에서 약 10분 정도 끓입니다.,"물에 불려둔 떡을 넣고, 떡이 부드러워질 때까지 약 5-10분간 끓입니다.","완성된 떡국을 그릇에 담고, 대파를 송송 썰어 고명으로 얹습니다. 기호에 따라 참기름이나 참깨를 뿌려 마무리합니다.","돼지고기,대두(간장에 포함될 수 있음)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (53, '돼지고기 김치떡국', '돼지고기, 김치, 떡, 국간장, 다진 마늘, 대파', 'http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/1.webp', 'http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/2.webp', 'http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/3.webp', 'http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/4.webp', 'http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/5.webp', 'http://kkms4001.iptime.org:45211/static/53. 돼지고기 김치떡국/6.webp', '돼지고기, 떡, 김치를 준비하고, 떡은 물에 담가 불려 둡니다. 대파, 마늘, 간장, 고춧가루, 소금, 후추, 물도 준비합니다.', '냄비에 약간의 기름을 두르고 돼지고기를 넣어 볶아줍니다. 돼지고기가 반쯤 익으면 간장과 후추로 밑간을 해줍니다.', '김치를 냄비에 넣고 함께 볶아 돼지고기에 김치의 맛이 잘 배도록 합니다.', '냄비에 물을 붓고 다진 마늘과 고춧가루를 넣어 끓입니다. 국물이 우러나오도록 중불에서 약 10분 정도 끓입니다.', '물에 불려둔 떡을 넣고, 떡이 부드러워질 때까지 약 5-10분간 끓입니다.', '완성된 떡국을 그릇에 담고, 대파를 송송 썰어 고명으로 얹습니다. 기호에 따라 참기름이나 참깨를 뿌려 마무리합니다.', '돼지고기,대두(간장에 포함될 수 있음)', '약 450-500 kcal');"
54,소고기 감자 스튜,"소고기, 감자, 소금, 후추, 물, 대파, 양파",http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/1.webp,http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/2.webp,http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/3.webp,http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/4.webp,http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/5.webp,http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/6.webp,"소고기는 한입 크기로 자르고, 감자는 껍질을 벗겨 큼직하게 썹니다. 양파, 당근도 적당한 크기로 썰어 준비합니다. 소금, 후추, 다진 마늘, 월계수 잎, 육수도 준비합니다.",냄비에 소고기를 넣고 약간의 소금과 후추로 간을 하며 겉면이 갈색이 될 때까지 볶아줍니다.,소고기가 갈색이 되면 양파와 다진 마늘을 넣고 함께 볶아 양파가 부드러워질 때까지 익힙니다.,감자와 당근을 냄비에 넣고 모든 재료가 고르게 섞이도록 저어줍니다.,"냄비에 육수를 붓고 월계수 잎을 넣어, 감자와 당근이 부드러워질 때까지 약한 불로 끓입니다.","월계수 잎을 제거하고, 완성된 스튜를 그릇에 담아 기호에 따라 파슬리를 뿌려 마무리합니다.",소고기,약 400-450 kcal,"INSERT INTO test_recipe VALUES (54, '소고기 감자 스튜', '소고기, 감자, 소금, 후추, 물, 대파, 양파', 'http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/1.webp', 'http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/2.webp', 'http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/3.webp', 'http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/4.webp', 'http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/5.webp', 'http://kkms4001.iptime.org:45211/static/54. 소고기 감자 스튜/6.webp', '소고기는 한입 크기로 자르고, 감자는 껍질을 벗겨 큼직하게 썹니다. 양파, 당근도 적당한 크기로 썰어 준비합니다. 소금, 후추, 다진 마늘, 월계수 잎, 육수도 준비합니다.', '냄비에 소고기를 넣고 약간의 소금과 후추로 간을 하며 겉면이 갈색이 될 때까지 볶아줍니다.', '소고기가 갈색이 되면 양파와 다진 마늘을 넣고 함께 볶아 양파가 부드러워질 때까지 익힙니다.', '감자와 당근을 냄비에 넣고 모든 재료가 고르게 섞이도록 저어줍니다.', '냄비에 육수를 붓고 월계수 잎을 넣어, 감자와 당근이 부드러워질 때까지 약한 불로 끓입니다.', '월계수 잎을 제거하고, 완성된 스튜를 그릇에 담아 기호에 따라 파슬리를 뿌려 마무리합니다.', '소고기', '약 400-450 kcal');"
55,계란 마늘 조림,"계란, 마늘, 간장, 물엿, 소금, 후추, 대파",http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/1.webp,http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/2.webp,http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/3.webp,http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/4.webp,http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/5.webp,http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/6.webp,"삶은 계란을 준비하고, 마늘은 통으로 사용합니다. 간장, 물, 설탕, 참기름, 후추도 준비합니다.",팬에 기름을 두르고 통마늘을 넣어 노릇해질 때까지 볶아줍니다. 마늘이 갈색으로 변할 때까지 중불로 천천히 볶습니다.,"간장, 물, 설탕을 섞어 양념장을 준비합니다.",마늘이 볶아지면 삶은 계란을 넣고 준비한 양념장을 부어줍니다. 계란에 양념이 잘 배도록 고루 섞어줍니다.,"중불로 줄이고, 양념이 자작하게 줄어들 때까지 약 10분 정도 끓여줍니다. 중간중간 계란을 굴려가며 양념이 잘 배도록 합니다.",완성된 계란 마늘조림을 접시에 담고 참기름을 살짝 두르고 후추를 뿌려 마무리합니다. 기호에 따라 쪽파나 참깨를 추가로 뿌려줍니다.,"계란, 대두(간장에 포함될 수 있음)",약 200-250 kcal,"INSERT INTO test_recipe VALUES (55, '계란 마늘 조림', '계란, 마늘, 간장, 물엿, 소금, 후추, 대파', 'http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/1.webp', 'http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/2.webp', 'http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/3.webp', 'http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/4.webp', 'http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/5.webp', 'http://kkms4001.iptime.org:45211/static/55. 계란 마늘 조림/6.webp', '삶은 계란을 준비하고, 마늘은 통으로 사용합니다. 간장, 물, 설탕, 참기름, 후추도 준비합니다.', '팬에 기름을 두르고 통마늘을 넣어 노릇해질 때까지 볶아줍니다. 마늘이 갈색으로 변할 때까지 중불로 천천히 볶습니다.', '간장, 물, 설탕을 섞어 양념장을 준비합니다.', '마늘이 볶아지면 삶은 계란을 넣고 준비한 양념장을 부어줍니다. 계란에 양념이 잘 배도록 고루 섞어줍니다.', '중불로 줄이고, 양념이 자작하게 줄어들 때까지 약 10분 정도 끓여줍니다. 중간중간 계란을 굴려가며 양념이 잘 배도록 합니다.', '완성된 계란 마늘조림을 접시에 담고 참기름을 살짝 두르고 후추를 뿌려 마무리합니다. 기호에 따라 쪽파나 참깨를 추가로 뿌려줍니다.', '계란, 대두(간장에 포함될 수 있음)', '약 200-250 kcal');"
56,햄 김치 감자볶음,"햄, 김치, 감자, 소금, 후추, 간장, 마늘, 양파",http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/1.webp,http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/2.webp,http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/3.webp,http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/4.webp,http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/5.webp,http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/6.webp,"햄을 먹기 좋은 크기로 썰고, 감자는 껍질을 벗겨 얇게 썹니다. 김치는 잘게 잘라 준비하고, 다진 마늘과 간장, 후추, 참기름도 준비합니다.",팬에 기름을 두르고 감자를 넣어 중불에서 노릇해질 때까지 볶아줍니다.,감자가 반쯤 익으면 햄을 추가하고 감자와 함께 노릇하게 볶아줍니다.,김치와 다진 마늘을 팬에 넣고 함께 볶아 김치의 향이 나고 부드러워질 때까지 익혀줍니다.,간장과 후추로 간을 맞추며 볶아줍니다. 재료들이 양념에 고루 배이도록 저어줍니다.,"완성된 햄 김치 감자볶음을 접시에 담고, 기호에 따라 참기름을 살짝 두르고 참깨를 뿌려 마무리합니다.","돼지고기,대두(간장에 포함될 수 있음)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (56, '햄 김치 감자볶음', '햄, 김치, 감자, 소금, 후추, 간장, 마늘, 양파', 'http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/56. 햄 김치 감자볶음/6.webp', '햄을 먹기 좋은 크기로 썰고, 감자는 껍질을 벗겨 얇게 썹니다. 김치는 잘게 잘라 준비하고, 다진 마늘과 간장, 후추, 참기름도 준비합니다.', '팬에 기름을 두르고 감자를 넣어 중불에서 노릇해질 때까지 볶아줍니다.', '감자가 반쯤 익으면 햄을 추가하고 감자와 함께 노릇하게 볶아줍니다.', '김치와 다진 마늘을 팬에 넣고 함께 볶아 김치의 향이 나고 부드러워질 때까지 익혀줍니다.', '간장과 후추로 간을 맞추며 볶아줍니다. 재료들이 양념에 고루 배이도록 저어줍니다.', '완성된 햄 김치 감자볶음을 접시에 담고, 기호에 따라 참기름을 살짝 두르고 참깨를 뿌려 마무리합니다.', '돼지고기,대두(간장에 포함될 수 있음)', '약 350-400 kcal');"
